date,region,product,units,revenue,margin_pct,rep
2024-01-15,EU,Widget,42,1203.50,31.2,Alice
2024-01-16,US,Widget,58,1980.20,29.8,Bob
2024-01-17,APAC,Gadget,31,1544.00,41.5,Chen
2024-01-18,EU,Gadget,27,1310.75,40.1,Alice
2024-01-19,LATAM,Widget,15,466.00,22.4,Diego
2024-02-03,US,Doohickey,73,4380.90,52.0,Bob
2024-02-07,EU,Widget,49,1421.30,30.9,Elena
2024-02-11,APAC,Widget,66,1908.60,28.7,Chen
2024-02-14,US,Gadget,38,1855.40,39.8,Bob
2024-02-19,LATAM,Doohickey,22,1298.00,50.3,Diego
2024-03-02,EU,Doohickey,54,3204.60,51.1,Elena
2024-03-08,APAC,Gadget,45,2201.25,42.0,Chen
2024-03-12,US,Widget,81,2349.00,27.5,Bob
2024-03-15,EU,Widget,37,1073.15,32.6,Alice
2024-03-21,LATAM,Gadget,19,921.10,38.4,Diego
2024-04-04,US,Doohickey,92,5520.00,53.7,Bob
2024-04-09,APAC,Widget,58,1682.20,29.1,Chen
2024-04-16,EU,Gadget,41,2009.30,41.9,Elena
2024-04-22,LATAM,Widget,26,748.80,23.9,Diego
2024-04-28,US,Gadget,64,3128.00,40.6,Alice
2024-05-05,EU,Doohickey,48,2851.20,50.8,Elena
2024-05-13,APAC,Doohickey,35,2079.50,51.4,Chen
2024-05-19,US,Widget,77,2233.00,28.2,Bob
2024-05-26,LATAM,Gadget,24,1166.40,37.8,Diego
2024-06-02,EU,Widget,52,1508.00,31.7,Alice
2024-06-11,APAC,Gadget,49,2397.10,42.3,Chen
2024-06-18,US,Doohickey,88,5280.00,54.1,Bob
2024-06-25,EU,Gadget,44,2156.00,41.2,Elena
2024-07-01,LATAM,Widget,31,893.80,24.6,Diego
2024-07-09,US,Widget,69,2001.00,27.9,Alice
